x,y
20,490
45,490
70,490
95,490
120,490
145,490
170,490
195,490
220,490
245,490
270,490
295,490
320,490
345,490
370,490
395,490
420,490
445,490
470,490
189,490
189,432
190,377
195,325
202,276
211,229
217,188
222,204
222,204
217,188
222,204
207,185
217,188
207,185
201,210
217,188
201,210
197,187
217,188
197,187
190,209
217,188
190,209
212,211
217,188
212,211
194,198
217,188
211,229
202,276
195,325
190,377
174,355
172,325
175,296
180,269
173,243
196,252
171,254
171,254
196,252
171,254
187,229
196,252
187,229
164,237
196,252
164,237
189,244
196,252
189,244
175,227
196,252
175,227
197,237
196,252
197,237
185,265
196,252
173,243
180,269
175,296
172,325
174,355
190,377
189,432
189,490
189,430
178,388
167,347
168,370
168,370
167,347
168,370
190,356
167,347
190,356
162,357
167,347
162,357
184,370
167,347
184,370
187,345
167,347
187,345
195,367
167,347
195,367
177,349
167,347
178,388
189,430
201,390
214,352
228,316
203,323
203,323
228,316
203,323
225,337
228,316
225,337
204,337
228,316
204,337
232,328
228,316
232,328
221,309
228,316
221,309
204,310
228,316
204,310
218,328
228,316
214,352
201,390
189,430
189,490
89,490
56,431
68,415
55,390
55,390
68,415
55,390
73,404
68,415
73,404
47,415
68,415
47,415
42,394
68,415
42,394
68,393
68,415
68,393
40,405
68,415
40,405
59,410
68,415
56,431
67,398
80,366
95,338
76,325
76,325
95,338
76,325
81,348
95,338
81,348
62,342
95,338
62,342
91,347
95,338
91,347
68,351
95,338
68,351
63,331
95,338
63,331
89,328
95,338
80,366
67,398
56,431
39,406
54,415
54,415
39,406
54,415
44,393
39,406
44,393
68,392
39,406
68,392
70,413
39,406
70,413
57,388
39,406
57,388
75,403
39,406
75,403
53,400
39,406
56,431
89,490
107,464
82,470
82,470
107,464
82,470
89,446
107,464
89,446
72,461
107,464
72,461
97,459
107,464
97,459
77,450
107,464
77,450
101,449
107,464
101,449
99,474
107,464
89,490
161,490
171,460
185,440
166,418
192,419
192,419
166,418
192,419
179,397
166,418
179,397
199,407
166,418
199,407
174,411
166,418
174,411
191,398
166,418
191,398
168,402
166,418
168,402
176,425
166,418
185,440
171,460
184,432
201,409
176,414
176,414
201,409
176,414
173,391
201,409
173,391
197,399
201,409
197,399
169,402
201,409
169,402
192,389
201,409
192,389
193,415
201,409
193,415
183,394
201,409
184,432
171,460
161,490
153,466
139,447
157,446
157,446
139,447
157,446
140,426
139,447
140,426
165,430
139,447
165,430
138,437
139,447
138,437
159,421
139,447
159,421
170,442
139,447
170,442
150,424
139,447
153,466
161,490
34,490
32,464
48,446
39,423
39,423
48,446
39,423
21,441
48,446
21,441
49,433
48,446
49,433
24,423
48,446
24,423
38,443
48,446
38,443
16,431
48,446
16,431
27,449
48,446
32,464
34,490
37,431
44,397
56,361
68,326
42,324
42,324
68,326
42,324
61,333
68,326
61,333
36,338
68,326
36,338
57,345
68,326
57,345
57,319
68,326
57,319
69,342
68,326
69,342
43,348
68,326
56,361
44,397
37,431
37,384
24,355
-1,355
-16,336
10,340
10,340
-16,336
10,340
-14,322
-16,336
-14,322
11,319
-16,336
11,319
-6,340
-16,336
-6,340
0,313
-16,336
0,313
19,329
-16,336
19,329
-4,324
-16,336
-1,355
24,355
5,332
32,324
32,324
5,332
32,324
12,340
5,332
12,340
15,315
5,332
15,315
23,338
5,332
23,338
6,321
5,332
6,321
27,312
5,332
27,312
37,337
5,332
24,355
37,384
45,344
52,306
61,270
58,290
58,290
61,270
58,290
53,264
61,270
53,264
33,275
61,270
33,275
39,293
61,270
39,293
43,268
61,270
43,268
67,279
61,270
67,279
41,283
61,270
52,306
45,344
37,384
37,431
34,490
52,464
27,471
27,471
52,464
27,471
33,446
52,464
33,446
17,462
52,464
17,462
42,459
52,464
42,459
22,451
52,464
22,451
46,449
52,464
46,449
45,474
52,464
34,490
52,464
27,471
27,471
52,464
27,471
33,446
52,464
33,446
17,462
52,464
17,462
42,459
52,464
42,459
22,451
52,464
22,451
46,449
52,464
46,449
45,474
52,464
34,490
