x,y
0,0
50,0
100,0
150,0
160,0
387,285
385,322
379,352
371,390
366,428
361,459
347,490
331,516
298,522
265,521
235,505
205,508
237,506
267,521
300,522
334,516
350,491
365,460
370,429
375,391
383,353
389,323
391,286
395,251
391,215
387,177
383,142
376,110
366,79
354,49
329,32
296,40
263,52
231,62
194,63
160,73
129,87
92,93
58,96
92,93
130,87
161,73
195,62
233,61
265,51
293,39
323,33
353,38
368,69
378,99
387,131
392,164
396,202
399,238
395,274
395,311
387,347
380,384
376,420
372,452
355,484
350,518
373,539
381,510
400,535
370,540
353,509
369,474
377,435
382,397
389,361
398,324
399,288
405,252
404,215
402,178
397,142
390,111
382,78
372,47
345,31
319,54
288,64
261,82
228,90
188,84
153,90
121,105
80,110
45,115
80,109
112,107
143,94
172,84
216,87
254,85
283,64
312,56
337,36
367,28
384,57
392,86
400,118
406,150
410,188
412,225
412,261
410,297
410,333
408,370
404,405
400,443
397,476
397,508
393,539
381,511
404,532
400,501
401,470
406,432
408,396
413,360
415,324
416,286
418,253
417,216
415,177
410,141
404,110
400,79
399,45
395,14
403,-16
429,-39
438,-67
428,-39
402,-21
398,11
402,42
403,76
408,108
415,139
420,177
422,215
422,253
421,288
420,322
417,360
411,397
405,433
402,468
402,502
392,531
382,502
408,526
403,496
405,465
407,431
414,395
418,358
423,320
424,285
426,249
425,211
422,172
416,137
412,106
410,75
415,39
418,7
431,-25
438,-54
440,-87
438,-124
420,-155
394,-178
365,-187
332,-179
301,-164
283,-139
299,-111
283,-138
301,-163
332,-177
365,-184
395,-175
420,-151
438,-120
441,-88
440,-54
432,-19
420,14
417,46
413,83
415,113
419,145
425,180
429,219
429,257
430,291
426,326
421,363
415,401
409,437
405,472
402,505
392,536
380,507
407,528
405,498
407,465
412,429
418,393
424,355
429,318
433,284
433,249
433,210
430,180
424,143
420,112
419,82
426,46
433,12
443,-22
447,-53
450,-88
446,-119
433,-151
408,-180
382,-201
348,-210
316,-199
285,-181
252,-171
219,-188
184,-216
208,-197
241,-174
273,-173
302,-189
329,-203
364,-209
397,-187
427,-159
443,-131
450,-96
449,-64
448,-33
439,-2
432,34
425,65
422,101
424,132
430,165
436,204
437,235
439,270
440,305
434,343
424,379
420,417
411,452
409,484
400,514
401,544
388,516
410,538
404,507
410,472
416,439
425,404
430,367
439,329
444,292
442,257
441,219
438,188
431,150
428,118
429,81
438,47
446,11
459,-24
465,-56
463,-88
457,-125
441,-163
414,-200
393,-222
372,-246
342,-255
313,-270
295,-300
286,-334
295,-300
314,-270
342,-255
373,-246
394,-221
415,-199
436,-174
453,-141
462,-107
466,-77
466,-44
455,-7
445,31
436,62
432,97
433,135
439,170
444,200
445,231
446,265
448,299
440,337
429,373
425,411
418,443
410,477
404,508
393,537
380,509
403,532
412,498
416,461
426,427
430,391
439,355
448,318
452,282
448,247
449,210
445,179
438,141
438,110
441,75
451,39
457,10
469,-25
478,-54
480,-90
473,-130
459,-164
438,-204
420,-227
397,-255
380,-282
356,-310
342,-346
328,-380
314,-407
328,-380
342,-346
354,-318
374,-290
393,-264
413,-237
440,-204
455,-178
472,-142
479,-108
484,-75
477,-41
466,-10
456,29
448,61
442,95
442,132
448,168
453,198
454,230
456,265
457,300
451,336
439,370
434,407
429,438
418,469
415,500
398,526
382,499
395,527
418,503
421,473
433,442
437,411
443,374
455,339
462,303
461,269
460,235
460,204
455,174
448,137
449,106
453,73
464,37
474,4
486,-26
495,-56
495,-89
492,-122
485,-160
462,-197
434,-232
414,-256
403,-289
399,-320
385,-355
373,-393
357,-422
374,-393
386,-355
400,-321
404,-290
415,-258
436,-234
465,-199
487,-161
495,-124
499,-91
499,-58
490,-28
477,2
468,35
459,64
453,96
452,134
459,171
464,201
465,232
466,268
469,303
466,334
457,364
453,399
445,432
438,465
436,496
421,523
391,524
424,529
439,502
442,471
449,439
458,407
462,371
472,341
475,310
471,276
470,242
470,211
464,172
459,137
459,106
463,73
474,38
490,5
503,-30
504,-67
500,-107
498,-144
487,-182
466,-204
445,-226
420,-253
406,-286
403,-317
389,-349
377,-385
362,-414
377,-386
390,-350
403,-319
407,-288
421,-256
447,-229
468,-206
489,-185
501,-147
503,-110
508,-79
507,-48
503,-18
486,13
473,47
465,81
462,116
465,148
472,186
475,215
475,247
478,281
481,312
482,346
480,376
481,412
475,446
464,475
468,505
472,536
471,502
470,469
483,440
484,404
485,370
487,336
483,301
480,267
479,228
476,189
471,152
470,121
473,86
478,52
490,21
503,-9
507,-40
506,-78
501,-110
500,-147
487,-184
465,-205
444,-227
418,-253
404,-284
399,-320
385,-352
374,-387
385,-351
400,-318
405,-282
419,-251
444,-224
465,-202
487,-181
500,-144
502,-107
506,-75
507,-44
506,-13
494,20
482,50
476,84
474,120
474,150
478,186
483,224
483,261
486,293
491,327
490,360
486,394
488,429
477,459
473,490
474,523
476,489
475,457
490,429
490,395
492,360
494,325
491,292
487,260
487,222
484,184
481,149
481,116
481,86
483,53
494,23
505,-8
508,-38
506,-77
502,-109
500,-146
489,-182
468,-204
447,-226
420,-253
406,-286
403,-316
390,-348
377,-383
363,-412
378,-383
390,-347
404,-315
407,-285
421,-251
447,-224
468,-202
490,-180
501,-144
503,-107
507,-75
509,-44
508,-12
498,20
487,50
484,83
484,120
484,153
487,188
491,227
490,261
492,293
497,326
495,360
490,393
492,428
480,457
473,487
474,518
477,487
483,453
495,423
493,389
498,356
500,321
496,288
494,256
494,219
491,181
489,148
489,114
488,83
488,51
498,21
507,-10
509,-42
507,-72
502,-103
501,-139
494,-176
464,-209
443,-231
419,-257
407,-292
403,-323
389,-355
375,-392
386,-364
401,-330
408,-299
412,-269
434,-241
465,-208
487,-187
502,-151
504,-113
508,-80
510,-48
510,-17
503,17
492,46
490,78
492,116
493,150
495,183
498,221
496,256
496,288
500,323
498,357
492,389
494,424
485,454
473,483
474,518
476,486
487,453
497,423
495,388
501,356
504,322
500,287
500,254
501,218
498,181
496,148
495,115
493,84
492,51
501,22
508,-11
509,-42
507,-73
503,-104
502,-140
494,-177
464,-209
443,-231
419,-257
408,-293
404,-324
389,-357
375,-394
386,-366
401,-333
408,-302
413,-271
434,-242
465,-209
488,-189
503,-154
505,-115
508,-82
511,-50
512,-18
506,16
496,44
495,76
499,106
500,139
502,172
504,207
507,237
503,272
507,303
506,337
499,367
494,401
495,433
480,462
476,494
475,525
477,491
488,458
499,428
498,394
504,362
512,327
220,0
270,0
320,0
370,0
