x,y
80,1960
96,1960
112,1960
128,1960
144,1960
160,1960
176,1960
192,1960
208,1960
224,1960
240,1960
256,1960
272,1960
288,1960
304,1960
320,1960
336,1960
352,1960
368,1960
384,1960
400,1960
416,1960
432,1960
448,1960
464,1960
480,1960
496,1960
512,1960
528,1960
544,1960
560,1960
576,1960
592,1960
608,1960
624,1960
640,1960
656,1960
672,1960
688,1960
704,1960
720,1960
736,1960
752,1960
768,1960
784,1960
800,1960
816,1960
832,1960
848,1960
864,1960
880,1960
896,1960
912,1960
928,1960
944,1960
960,1960
976,1960
992,1960
1008,1960
1024,1960
1040,1960
1056,1960
1072,1960
1088,1960
1104,1960
1120,1960
1136,1960
1152,1960
1168,1960
1184,1960
1200,1960
1216,1960
1232,1960
1248,1960
1264,1960
1280,1960
1296,1960
1312,1960
1328,1960
1344,1960
1360,1960
1376,1960
1392,1960
1408,1960
1424,1960
1440,1960
1456,1960
1472,1960
1488,1960
1504,1960
1520,1960
1536,1960
1552,1960
1568,1960
1584,1960
1600,1960
1616,1960
1632,1960
1648,1960
1664,1960
1680,1960
1696,1960
1712,1960
1728,1960
1744,1960
1760,1960
1776,1960
1792,1960
1808,1960
1824,1960
1840,1960
1856,1960
1872,1960
1888,1960
1904,1960
403,1960
401,1944
398,1928
395,1913
392,1897
390,1881
387,1865
386,1860
385,1844
383,1828
382,1812
381,1796
379,1780
378,1765
377,1761
379,1745
380,1729
381,1713
383,1697
384,1681
385,1665
386,1662
388,1647
390,1631
392,1615
395,1599
397,1583
399,1567
400,1552
402,1536
403,1520
405,1504
406,1488
407,1475
407,1459
407,1443
407,1427
408,1411
408,1395
408,1385
408,1369
408,1353
408,1337
408,1321
408,1305
408,1297
414,1283
421,1268
427,1254
434,1239
441,1225
443,1220
453,1208
464,1196
474,1184
485,1172
495,1160
497,1158
513,1156
521,1154
529,1140
534,1133
518,1135
509,1136
501,1150
497,1158
486,1170
476,1182
465,1194
455,1206
444,1218
443,1220
456,1222
465,1213
452,1211
443,1220
452,1226
462,1221
453,1216
443,1220
450,1225
459,1222
451,1217
443,1220
436,1235
429,1249
423,1264
416,1278
410,1293
408,1297
399,1293
390,1297
399,1302
408,1297
418,1298
425,1290
414,1289
408,1297
408,1313
408,1329
408,1345
408,1361
408,1377
408,1385
413,1391
422,1390
416,1384
408,1385
417,1388
425,1382
416,1379
408,1385
403,1379
395,1379
400,1385
408,1385
408,1401
407,1417
407,1433
407,1449
407,1465
407,1475
415,1478
422,1473
414,1470
407,1475
414,1479
421,1476
414,1472
407,1475
406,1491
404,1507
403,1523
402,1539
400,1555
399,1567
397,1583
395,1599
392,1615
390,1631
388,1647
386,1662
394,1665
402,1660
393,1657
386,1662
381,1657
374,1657
379,1662
386,1662
384,1678
383,1694
382,1710
380,1726
379,1742
378,1758
377,1761
370,1759
364,1765
371,1766
377,1761
379,1777
380,1793
382,1809
383,1824
384,1840
386,1856
386,1860
379,1859
374,1864
381,1865
386,1860
389,1876
392,1892
394,1907
397,1923
400,1939
402,1955
403,1960
403,1944
403,1928
402,1912
402,1896
402,1880
401,1864
401,1848
401,1832
400,1816
400,1800
400,1784
399,1768
399,1752
399,1750
397,1735
394,1719
392,1703
389,1687
387,1671
385,1656
382,1640
380,1624
377,1608
375,1592
375,1590
372,1575
370,1559
368,1543
366,1527
363,1511
361,1495
359,1480
357,1464
354,1448
352,1433
351,1417
350,1401
349,1385
347,1369
346,1353
345,1338
344,1322
343,1312
341,1296
338,1280
336,1264
333,1249
331,1233
328,1217
326,1203
323,1188
320,1172
317,1156
314,1141
311,1125
308,1109
306,1098
304,1083
301,1067
299,1051
297,1035
295,1019
292,1003
291,996
290,980
288,964
286,948
285,932
283,916
282,900
281,895
281,879
280,863
280,847
280,831
279,815
279,799
279,797
276,782
273,766
271,750
268,734
265,718
263,703
262,687
261,671
260,655
260,639
259,623
258,611
258,595
257,579
256,563
255,547
255,531
254,521
249,506
245,491
240,475
235,460
230,445
228,438
220,424
212,410
204,396
196,382
188,368
185,364
173,354
160,344
147,335
135,325
122,315
120,313
118,297
117,284
103,276
91,269
93,284
94,298
108,306
120,313
133,304
140,298
140,282
140,273
127,283
120,288
120,304
120,313
136,311
151,309
159,308
167,294
174,280
178,273
162,276
146,278
139,279
131,293
123,307
120,313
132,323
145,333
158,343
170,352
183,362
185,364
199,357
202,341
188,348
185,364
199,356
213,349
215,333
218,318
204,325
190,333
188,349
185,364
187,348
187,346
175,335
174,334
172,350
172,352
184,363
185,364
193,378
201,392
209,406
217,420
225,433
228,438
229,426
221,418
220,430
228,438
243,443
258,449
273,454
276,455
289,447
303,438
316,429
319,428
304,422
289,416
274,411
271,410
257,419
244,427
230,436
228,438
240,427
245,423
243,407
243,401
231,411
226,415
227,431
228,438
233,453
237,468
242,483
247,499
252,514
254,521
270,516
274,515
279,500
281,495
266,500
261,501
256,516
254,521
245,508
242,505
226,504
222,504
231,517
234,521
250,521
254,521
264,530
278,528
268,519
254,521
270,522
271,522
281,509
282,508
266,508
265,508
255,520
254,521
255,537
256,553
256,569
257,585
258,601
258,611
252,600
241,599
247,609
258,611
254,602
244,601
249,609
258,611
268,610
273,601
263,602
258,611
259,627
260,643
260,659
261,675
262,691
263,703
259,696
251,695
255,702
263,703
271,701
274,694
266,696
263,703
265,719
268,735
271,750
273,766
276,782
279,797
287,794
290,785
281,788
279,797
289,800
297,793
287,791
279,797
287,795
289,787
281,789
279,797
279,813
280,829
280,845
280,861
281,877
281,893
281,895
273,893
267,898
275,900
281,895
278,889
270,887
274,894
281,895
284,888
279,881
277,889
281,895
283,911
284,927
286,943
288,959
289,975
291,991
291,996
299,994
302,987
294,988
291,996
285,994
279,997
286,1000
291,996
293,1011
296,1027
298,1043
300,1059
303,1075
305,1091
306,1098
302,1092
295,1091
299,1097
306,1098
313,1098
317,1092
310,1092
306,1098
315,1097
320,1088
310,1090
306,1098
309,1114
312,1130
315,1145
318,1161
321,1177
324,1193
326,1203
334,1202
338,1194
330,1196
326,1203
334,1204
339,1199
332,1198
326,1203
329,1219
331,1235
334,1251
336,1267
339,1282
341,1298
343,1312
349,1297
354,1282
359,1267
365,1252
370,1236
373,1228
371,1212
369,1196
367,1180
365,1164
363,1148
362,1140
360,1125
358,1109
355,1093
353,1077
351,1061
351,1056
343,1042
335,1028
327,1014
320,1000
312,986
311,984
319,984
323,977
315,978
311,984
307,977
299,976
303,983
311,984
318,998
326,1012
334,1026
342,1040
349,1054
351,1056
360,1056
365,1048
356,1048
351,1056
341,1049
329,1052
339,1060
351,1056
361,1054
365,1044
355,1046
351,1056
353,1072
355,1088
357,1104
359,1120
361,1135
362,1140
364,1156
