x,y
80,1960
85,1960
90,1960
95,1960
100,1960
105,1960
110,1960
115,1960
120,1960
125,1960
130,1960
135,1960
140,1960
145,1960
150,1960
155,1960
160,1960
165,1960
170,1960
175,1960
180,1960
185,1960
190,1960
195,1960
200,1960
205,1960
210,1960
215,1960
220,1960
225,1960
230,1960
235,1960
240,1960
245,1960
250,1960
255,1960
260,1960
265,1960
270,1960
275,1960
280,1960
285,1960
290,1960
295,1960
300,1960
305,1960
310,1960
315,1960
320,1960
325,1960
330,1960
335,1960
340,1960
345,1960
350,1960
355,1960
360,1960
365,1960
370,1960
375,1960
380,1960
385,1960
390,1960
395,1960
400,1960
405,1960
410,1960
415,1960
420,1960
425,1960
430,1960
435,1960
440,1960
445,1960
450,1960
455,1960
460,1960
465,1960
470,1960
475,1960
480,1960
485,1960
490,1960
495,1960
500,1960
505,1960
510,1960
515,1960
520,1960
525,1960
530,1960
535,1960
540,1960
545,1960
550,1960
555,1960
560,1960
565,1960
570,1960
575,1960
580,1960
585,1960
590,1960
595,1960
600,1960
605,1960
610,1960
615,1960
620,1960
625,1960
630,1960
635,1960
640,1960
645,1960
650,1960
655,1960
660,1960
665,1960
670,1960
675,1960
680,1960
685,1960
690,1960
695,1960
700,1960
705,1960
710,1960
715,1960
720,1960
725,1960
730,1960
735,1960
740,1960
745,1960
750,1960
755,1960
760,1960
765,1960
770,1960
775,1960
780,1960
785,1960
790,1960
795,1960
800,1960
805,1960
810,1960
815,1960
820,1960
825,1960
830,1960
835,1960
840,1960
845,1960
850,1960
855,1960
860,1960
865,1960
870,1960
875,1960
880,1960
885,1960
890,1960
895,1960
900,1960
905,1960
910,1960
915,1960
920,1960
925,1960
930,1960
935,1960
940,1960
945,1960
950,1960
955,1960
960,1960
965,1960
970,1960
975,1960
980,1960
985,1960
990,1960
995,1960
1000,1960
1005,1960
1010,1960
1015,1960
1020,1960
1025,1960
1030,1960
1035,1960
1040,1960
1045,1960
1050,1960
1055,1960
1060,1960
1065,1960
1070,1960
1075,1960
1080,1960
1085,1960
1090,1960
1095,1960
1100,1960
1105,1960
1110,1960
1115,1960
1120,1960
1125,1960
1130,1960
1135,1960
1140,1960
1145,1960
1150,1960
1155,1960
1160,1960
1165,1960
1170,1960
1175,1960
1180,1960
1185,1960
1190,1960
1195,1960
1200,1960
1205,1960
1210,1960
1215,1960
1220,1960
1225,1960
1230,1960
1235,1960
1240,1960
1245,1960
1250,1960
1255,1960
1260,1960
1265,1960
1270,1960
1275,1960
1280,1960
1285,1960
1290,1960
1295,1960
1300,1960
1305,1960
1310,1960
1315,1960
1320,1960
1325,1960
1330,1960
1335,1960
1340,1960
1345,1960
1350,1960
1355,1960
1360,1960
1365,1960
1370,1960
1375,1960
1380,1960
1385,1960
1390,1960
1395,1960
1400,1960
1405,1960
1410,1960
1415,1960
1420,1960
1425,1960
1430,1960
1435,1960
1440,1960
1445,1960
1450,1960
1455,1960
1460,1960
1465,1960
1470,1960
1475,1960
1480,1960
1485,1960
1490,1960
1495,1960
1500,1960
1505,1960
1510,1960
1515,1960
1520,1960
1525,1960
1530,1960
1535,1960
1540,1960
1545,1960
1550,1960
1555,1960
1560,1960
1565,1960
1570,1960
1575,1960
1580,1960
1585,1960
1590,1960
1595,1960
1600,1960
1605,1960
1610,1960
1615,1960
1620,1960
1625,1960
1630,1960
1635,1960
1640,1960
1645,1960
1650,1960
1655,1960
1660,1960
1665,1960
1670,1960
1675,1960
1680,1960
1685,1960
1690,1960
1695,1960
1700,1960
1705,1960
1710,1960
1715,1960
1720,1960
1725,1960
1730,1960
1735,1960
1740,1960
1745,1960
1750,1960
1755,1960
1760,1960
1765,1960
1770,1960
1775,1960
1780,1960
1785,1960
1790,1960
1795,1960
1800,1960
1805,1960
1810,1960
1815,1960
1820,1960
1825,1960
1830,1960
1835,1960
1840,1960
1845,1960
1850,1960
1855,1960
1860,1960
1865,1960
1870,1960
1875,1960
1880,1960
1885,1960
1890,1960
1895,1960
1900,1960
1905,1960
1910,1960
1915,1960
607,1960
607,1955
607,1950
607,1945
607,1940
608,1935
608,1930
608,1925
608,1920
608,1915
608,1910
609,1905
609,1900
609,1895
609,1890
609,1885
610,1880
610,1875
610,1870
610,1865
610,1860
610,1855
611,1850
611,1845
611,1840
611,1835
611,1830
611,1825
612,1820
612,1815
612,1810
612,1805
612,1800
612,1795
613,1790
613,1788
613,1783
612,1778
612,1773
612,1768
612,1763
612,1758
612,1753
612,1748
612,1743
611,1738
611,1733
611,1728
611,1723
611,1718
611,1713
611,1708
611,1703
610,1698
610,1693
610,1688
610,1683
610,1678
610,1673
610,1668
610,1663
609,1658
609,1657
609,1652
609,1647
609,1642
609,1637
609,1632
609,1627
609,1622
609,1617
609,1612
609,1607
609,1602
609,1597
609,1592
609,1587
609,1582
609,1577
609,1572
609,1567
609,1562
609,1557
609,1552
609,1547
609,1542
609,1537
609,1532
609,1530
609,1525
609,1520
609,1515
609,1510
609,1505
609,1500
609,1495
609,1490
609,1485
609,1480
609,1475
609,1470
609,1465
609,1460
609,1455
609,1450
609,1445
609,1440
609,1435
609,1430
609,1425
609,1420
609,1415
609,1410
609,1405
609,1400
609,1395
609,1390
609,1385
609,1380
609,1375
609,1370
609,1365
609,1360
609,1355
609,1350
609,1345
609,1340
609,1335
609,1330
609,1325
609,1320
609,1315
609,1310
609,1305
609,1300
609,1295
609,1290
609,1285
609,1283
609,1278
608,1273
608,1268
607,1263
607,1258
607,1253
606,1248
606,1243
605,1238
605,1233
604,1228
604,1223
603,1218
603,1213
602,1208
602,1203
601,1198
601,1193
600,1188
600,1183
599,1178
599,1173
599,1168
598,1164
598,1162
598,1157
597,1152
597,1147
596,1142
596,1137
596,1132
595,1127
595,1122
595,1117
594,1112
594,1107
594,1102
593,1097
593,1092
592,1088
592,1083
592,1078
591,1073
591,1068
591,1063
590,1058
590,1054
589,1049
589,1044
588,1039
588,1034
587,1029
587,1024
586,1019
585,1014
585,1009
584,1004
584,999
583,994
583,989
582,984
582,979
581,974
580,969
580,964
579,959
579,954
578,949
578,949
578,944
577,939
577,934
577,929
576,924
576,919
576,914
575,909
575,904
575,899
574,894
574,889
573,884
573,879
573,874
572,869
572,864
572,859
571,854
571,849
571,846
571,841
571,836
571,831
571,826
572,821
572,816
572,811
572,806
572,801
573,796
573,791
573,786
573,781
573,776
574,771
574,766
574,761
574,756
574,751
575,746
576,741
577,736
578,731
579,726
580,721
581,716
582,711
583,707
584,702
585,697
586,692
587,687
588,682
589,677
590,672
591,667
592,663
593,658
594,653
595,650
596,645
598,640
599,635
601,631
602,626
603,621
605,616
606,611
608,607
609,602
611,597
612,592
613,587
615,583
616,578
618,573
619,568
621,563
622,559
622,558
622,553
623,548
623,543
623,538
624,533
624,528
625,523
625,518
625,513
626,508
626,503
626,498
627,493
627,488
627,483
628,478
628,473
628,468
628,468
627,463
625,458
624,454
622,449
621,444
619,439
618,435
616,430
615,425
613,420
611,415
610,411
608,406
607,401
605,396
604,392
602,387
601,384
599,380
597,375
595,371
592,366
590,362
588,357
586,353
584,348
581,344
579,339
577,335
575,330
572,326
570,321
568,317
566,312
564,308
563,308
562,303
560,298
558,294
556,289
554,284
553,280
551,275
549,270
547,266
545,261
544,256
542,252
540,247
538,242
537,238
535,233
534,231
533,226
532,221
532,216
531,211
530,206
529,202
529,198
524,196
520,193
515,191
511,189
506,186
502,184
499,183
500,187
501,192
501,197
502,202
503,207
504,212
504,216
509,218
513,220
518,223
522,225
526,227
531,230
534,231
539,231
544,231
549,231
554,231
559,231
564,231
569,231
574,231
579,231
584,231
584,231
587,227
590,223
593,219
596,215
599,211
602,207
605,203
608,199
611,195
614,191
609,191
604,191
599,191
594,191
589,191
584,191
579,191
574,191
569,191
564,191
561,195
558,199
555,203
552,207
549,211
546,215
543,219
540,223
537,227
534,231
534,231
531,227
528,223
526,219
523,215
520,210
517,206
517,206
512,205
507,205
502,205
497,205
492,204
487,204
486,204
489,208
492,212
495,217
498,221
500,225
503,229
503,230
508,230
513,230
518,230
523,231
528,231
533,231
534,231
530,229
526,226
521,223
519,222
514,223
509,225
505,227
502,228
506,231
510,233
514,236
517,238
522,236
526,234
531,232
534,231
536,236
538,240
539,245
541,250
543,254
545,259
547,264
548,268
550,273
552,278
554,282
556,287
557,292
559,296
561,301
563,306
563,308
568,306
573,305
578,303
582,302
583,301
585,297
587,292
588,287
590,283
590,282
586,283
581,285
576,286
571,288
570,288
569,293
567,297
565,302
564,307
563,308
563,303
563,298
563,296
559,293
555,290
554,290
554,295
554,300
554,301
558,304
562,307
563,308
559,305
555,302
551,299
550,298
545,300
540,301
536,303
534,303
538,306
542,309
547,312
548,313
553,311
557,310
562,308
563,308
568,307
573,307
578,307
580,307
583,303
586,299
589,295
590,293
585,293
580,294
575,294
573,294
570,298
568,302
565,306
563,308
560,304
556,300
553,297
550,293
549,293
544,293
539,294
534,294
529,295
529,295
532,299
536,302
539,306
542,309
543,310
548,309
553,309
558,308
563,308
563,308
566,312
568,317
570,321
572,325
574,330
577,334
579,339
581,343
583,348
586,352
588,357
590,361
592,366
594,370
597,375
599,379
601,384
601,384
598,381
594,378
591,375
586,376
581,377
577,378
581,381
585,384
588,387
593,386
598,385
601,384
598,380
596,376
593,372
591,370
586,370
581,370
576,370
574,370
577,374
580,378
583,382
584,384
589,384
594,384
599,384
601,384
605,380
606,379
605,374
605,373
601,376
600,378
601,382
601,384
603,379
604,376
602,371
599,368
598,373
596,377
599,381
601,384
605,381
609,378
610,377
610,372
610,367
610,366
606,369
602,372
601,373
601,378
601,383
601,384
603,389
604,394
606,398
608,403
609,408
611,413
612,417
614,422
615,427
617,432
618,436
620,441
621,446
623,451
624,456
626,460
627,465
628,468
633,466
638,465
643,463
647,462
652,460
657,459
662,457
667,456
667,456
669,451
670,446
672,442
674,437
675,432
677,428
679,423
680,418
680,418
676,419
671,421
666,422
661,424
657,425
652,427
647,428
642,430
642,430
640,435
639,439
637,444
635,449
634,453
632,458
630,463
628,468
628,468
633,466
638,464
642,462
643,462
645,457
646,452
647,447
647,446
643,448
638,450
633,452
633,452
631,457
630,462
629,467
628,468
628,463
628,458
627,453
627,448
627,443
623,441
619,438
614,435
610,432
606,430
607,435
607,440
607,445
608,450
608,454
612,457
616,460
620,463
625,465
628,468
628,473
628,478
627,483
627,488
627,493
626,498
626,503
626,508
625,513
625,518
625,523
624,528
624,533
624,538
623,543
623,548
622,553
622,558
622,558
627,557
632,556
637,555
642,555
647,554
652,553
657,552
661,551
666,550
671,549
676,548
681,547
686,547
691,546
696,545
701,544
702,544
706,541
710,539
715,536
719,534
723,531
728,529
729,528
729,523
730,518
730,513
731,508
732,503
732,498
732,497
728,499
724,502
719,504
715,507
711,509
706,512
705,513
705,518
704,523
704,527
703,532
702,537
702,542
702,544
706,546
711,548
714,549
719,547
723,544
727,543
722,541
717,538
714,537
710,539
705,542
702,544
707,543
712,543
717,542
722,542
727,541
732,541
733,540
736,536
738,532
741,527
744,523
746,519
749,515
750,513
745,514
740,514
735,515
730,515
725,516
720,516
718,516
715,521
713,525
710,529
708,534
705,538
703,542
702,544
706,545
711,547
716,548
721,550
725,547
729,544
733,542
737,539
732,537
727,536
723,534
718,532
714,535
710,538
706,541
702,544
697,545
692,545
687,546
682,547
677,548
672,549
667,550
662,551
657,552
653,553
648,553
643,554
638,555
633,556
628,557
623,558
622,558
619,554
616,550
613,546
612,544
607,544
602,544
597,544
595,544
598,548
601,552
604,556
605,558
610,558
615,558
620,558
622,558
627,560
631,563
634,564
638,562
643,559
646,558
641,556
637,554
634,552
629,554
625,557
622,558
627,558
632,557
637,557
641,556
643,552
646,548
649,544
651,540
646,541
641,541
636,542
632,542
629,546
627,551
624,555
622,558
627,557
632,556
634,556
636,551
638,547
639,545
634,546
629,547
627,547
625,552
623,556
622,558
621,563
619,568
618,573
616,577
615,582
614,587
612,592
611,596
609,601
608,606
606,611
605,616
604,620
602,625
601,630
599,635
598,640
596,644
595,649
595,650
599,648
602,646
603,641
604,638
599,641
596,642
595,647
595,650
590,648
586,646
582,649
578,652
583,653
587,655
591,652
595,650
594,655
593,660
592,664
591,669
590,674
589,679
588,684
587,689
586,694
585,699
584,704
583,708
581,713
580,718
579,723
578,728
577,733
576,738
575,743
575,746
574,741
573,739
569,737
567,736
568,741
568,743
573,745
575,746
570,745
565,744
564,743
560,747
556,750
556,750
560,752
565,753
566,753
570,750
574,746
575,746
574,751
574,756
574,761
574,766
574,771
573,776
573,781
573,786
573,791
573,796
572,801
572,806
572,811
572,816
572,821
571,826
571,831
571,836
571,841
571,846
567,842
564,839
559,840
556,841
559,844
562,847
567,846
571,846
570,841
570,838
565,836
563,835
564,839
564,842
568,844
571,846
571,851
571,856
572,860
572,865
572,870
573,875
573,880
574,885
574,890
574,895
575,900
575,905
575,910
576,915
576,920
576,925
577,930
577,935
578,940
578,945
578,949
574,947
572,946
567,948
566,949
570,951
572,952
576,950
578,949
579,954
579,959
580,964
580,969
581,973
581,978
582,983
583,988
583,993
584,998
584,1003
585,1008
585,1013
586,1018
587,1023
587,1028
588,1033
588,1038
589,1043
589,1048
590,1053
590,1054
594,1057
597,1059
602,1058
606,1057
602,1054
599,1051
594,1053
590,1054
590,1059
591,1064
591,1069
591,1074
592,1079
592,1084
593,1089
593,1094
593,1099
594,1104
594,1109
594,1114
595,1119
595,1124
595,1129
596,1134
596,1139
597,1144
597,1149
597,1154
598,1158
598,1162
596,1158
594,1153
593,1148
591,1144
589,1139
588,1134
586,1129
584,1125
582,1120
581,1115
579,1111
577,1106
575,1101
574,1097
572,1092
570,1087
568,1083
567,1079
567,1074
567,1069
567,1064
567,1059
567,1054
566,1049
566,1044
566,1039
566,1034
566,1029
566,1024
566,1019
566,1014
566,1009
566,1004
566,999
566,994
565,991
566,986
566,981
566,976
566,971
566,966
566,961
567,956
567,951
567,946
567,941
567,936
567,931
568,926
568,921
568,916
568,911
568,906
565,902
562,898
559,894
556,890
553,886
551,882
548,878
545,874
542,870
539,866
536,862
533,857
530,853
527,849
524,845
521,841
520,839
515,838
513,837
508,840
506,841
511,843
513,844
518,841
520,839
523,843
526,847
529,852
531,856
534,860
537,864
540,868
543,872
546,876
549,880
552,884
555,888
558,892
561,896
564,900
567,904
568,906
565,902
564,901
559,900
557,900
560,904
561,906
566,906
568,906
573,907
576,908
580,905
582,904
577,902
574,901
570,904
568,906
573,905
575,905
578,900
579,899
574,899
572,900
569,904
568,906
565,902
562,899
557,900
553,900
557,904
559,907
564,906
568,906
573,906
578,906
581,902
584,898
579,898
574,898
571,902
568,906
568,911
568,916
568,921
568,926
567,931
567,936
567,941
567,946
567,951
567,956
566,961
566,966
566,971
566,976
566,981
566,986
565,991
561,990
559,989
555,992
554,993
558,995
560,995
564,992
565,991
566,996
566,1001
566,1006
566,1011
566,1016
566,1021
566,1026
566,1031
566,1036
566,1041
566,1046
567,1051
567,1056
567,1061
567,1066
567,1071
567,1076
567,1079
562,1080
557,1081
557,1081
555,1086
553,1090
553,1090
558,1089
563,1088
563,1088
565,1083
567,1079
567,1079
569,1083
570,1088
572,1093
574,1097
576,1102
577,1107
579,1111
581,1116
583,1121
584,1125
586,1130
588,1135
590,1140
591,1144
593,1149
595,1154
596,1158
598,1162
603,1163
605,1163
608,1159
610,1158
605,1157
603,1157
599,1161
598,1162
598,1167
599,1172
599,1177
600,1182
600,1187
601,1192
601,1197
602,1202
602,1207
603,1212
603,1217
604,1222
604,1227
605,1232
605,1237
605,1242
606,1247
606,1252
607,1257
607,1262
608,1267
608,1272
609,1277
609,1282
609,1283
614,1283
617,1283
620,1278
621,1276
616,1277
614,1277
611,1281
609,1283
614,1284
619,1284
622,1280
625,1277
620,1277
616,1276
612,1280
609,1283
609,1288
609,1293
609,1298
609,1303
609,1308
609,1313
609,1318
609,1323
609,1328
609,1333
609,1338
609,1343
609,1348
609,1353
609,1358
609,1363
609,1368
609,1373
609,1378
609,1383
609,1388
609,1393
609,1398
609,1403
609,1405
609,1410
609,1415
609,1420
609,1425
609,1430
609,1435
609,1440
609,1445
609,1450
609,1455
609,1460
609,1465
609,1470
609,1475
609,1480
609,1485
609,1490
609,1495
609,1500
609,1505
609,1510
609,1515
609,1520
609,1525
609,1530
614,1531
616,1532
620,1529
622,1528
617,1526
615,1526
611,1528
609,1530
606,1526
604,1523
599,1523
595,1523
598,1527
601,1530
606,1530
609,1530
609,1535
609,1540
609,1545
609,1550
609,1555
609,1560
609,1565
609,1570
609,1575
609,1580
609,1585
609,1590
609,1595
609,1600
609,1605
609,1610
609,1615
609,1620
609,1625
609,1630
609,1635
609,1640
609,1645
609,1650
609,1655
609,1657
607,1653
606,1652
601,1651
599,1651
602,1655
603,1657
608,1657
609,1657
609,1662
610,1667
610,1672
610,1677
610,1682
610,1687
610,1692
610,1697
611,1702
611,1707
611,1712
611,1717
611,1722
611,1727
611,1732
611,1737
612,1742
612,1747
612,1752
612,1757
612,1762
612,1767
612,1772
612,1777
613,1782
613,1787
613,1788
613,1783
613,1778
614,1773
614,1768
615,1763
615,1758
615,1753
616,1748
616,1743
617,1738
617,1733
617,1728
618,1723
618,1718
619,1713
619,1708
619,1703
620,1698
620,1693
620,1688
621,1683
621,1678
622,1673
622,1670
622,1665
622,1660
622,1655
622,1650
622,1645
622,1640
622,1635
622,1630
622,1625
622,1620
622,1615
622,1610
622,1605
622,1600
622,1595
622,1590
622,1585
622,1580
622,1575
622,1570
622,1565
622,1560
622,1555
622,1554
622,1549
622,1544
622,1539
622,1534
622,1529
622,1524
622,1519
622,1514
622,1509
622,1504
622,1499
622,1494
622,1489
622,1484
622,1479
622,1474
622,1469
621,1464
621,1459
621,1454
621,1449
621,1444
621,1440
622,1435
622,1430
622,1425
623,1420
623,1415
623,1410
624,1405
624,1400
624,1395
