0,0
-8,10
13,-4
-3,15
18,2
2,21
23,8
8,27
28,13
13,33
34,19
18,38
39,25
23,44
44,31
28,50
49,36
33,56
54,42
38,62
59,48
44,67
64,54
49,73
70,59
54,79
75,65
59,85
80,71
64,90
85,77
69,96
90,83
74,102
95,88
80,108
100,94
93,104
95,107
83,122
106,106
86,128
111,110
89,133
116,114
93,139
121,118
96,144
125,122
100,148
129,127
105,153
133,132
109,157
137,137
114,161
140,142
119,165
143,148
226,13
216,7
232,26
211,12
226,32
205,18
221,37
200,24
216,43
195,30
211,49
190,35
206,55
185,41
201,60
180,47
196,66
175,53
190,72
169,58
185,78
164,64
180,83
159,70
175,89
154,76
170,95
149,81
165,101
144,87
160,107
139,93
154,112
133,99
149,118
128,104
144,124
134,117
131,120
143,160
135,170
156,156
140,176
161,162
145,181
166,168
150,187
171,173
156,193
177,179
161,199
182,185
166,204
187,191
171,210
192,197
176,216
197,202
181,222
202,208
186,227
207,214
192,233
213,220
197,239
218,225
202,245
223,231
207,250
228,237
212,256
233,243
217,262
238,248
222,268
243,254
235,264
238,267
257,243
276,264
252,246
273,269
247,250
269,275
242,254
266,280
237,259
262,285
233,263
258,289
229,268
253,294
225,273
248,298
222,278
244,302
218,284
238,306
274,253
284,260
269,241
290,255
274,235
295,249
279,229
300,243
284,224
305,237
289,218
310,231
294,212
315,226
299,206
320,220
305,201
326,214
310,195
331,208
315,189
336,203
320,183
341,197
325,178
346,191
330,172
351,185
335,166
356,180
341,160
362,174
346,155
356,161
360,157
238,0
230,10
251,-4
235,15
256,2
241,21
262,8
246,27
267,13
251,33
272,19
256,38
277,25
261,44
282,31
266,50
287,36
271,56
292,42
277,62
298,48
282,67
303,54
287,73
308,59
292,79
313,65
297,85
318,71
302,90
323,77
307,96
328,83
313,102
334,88
318,108
339,94
331,104
333,107
321,122
344,106
324,128
349,110
327,133
354,114
331,139
359,118
335,144
363,122
339,148
367,127
343,153
371,132
347,157
375,137
352,161
378,142
357,165
381,148
464,13
454,7
470,26
449,12
465,32
444,18
460,37
439,24
454,43
433,30
449,49
428,35
444,55
423,41
439,60
418,47
434,66
413,53
429,72
408,58
424,78
403,64
418,83
397,70
413,89
392,76
408,95
387,81
403,101
382,87
398,107
377,93
393,112
372,99
388,118
367,104
382,124
372,117
369,120
381,160
373,170
394,156
378,176
399,162
383,181
404,168
389,187
410,173
394,193
415,179
399,199
420,185
404,204
425,191
409,210
430,197
414,216
435,202
419,222
440,208
425,227
446,214
430,233
451,220
435,239
456,225
440,245
461,231
445,250
466,237
450,256
471,243
455,262
476,248
461,268
482,254
474,264
476,267
495,243
514,264
490,246
511,269
485,250
508,275
480,254
504,280
476,259
500,285
471,263
496,289
467,268
491,294
463,273
487,298
460,278
482,302
457,284
476,306
512,253
523,260
507,241
528,255
512,235
533,249
517,229
538,243
522,224
543,237
527,218
548,231
532,212
553,226
538,206
559,220
543,201
564,214
548,195
569,208
553,189
574,203
558,183
579,197
563,178
584,191
568,172
589,185
574,166
595,180
579,160
600,174
584,155
594,161
598,157
0,294
-8,303
13,290
-3,309
18,295
2,315
23,301
8,320
28,307
13,326
34,313
18,332
39,318
23,338
44,324
28,343
49,330
33,349
54,336
38,355
59,341
44,361
64,347
49,367
70,353
54,372
75,359
59,378
80,364
64,384
85,370
69,390
90,376
74,395
95,382
80,401
100,388
93,397
95,400
83,416
106,399
86,421
111,403
89,427
116,407
93,432
121,411
96,437
125,416
100,442
129,420
105,446
133,425
109,451
137,431
114,455
140,436
119,459
143,442
226,307
216,300
232,319
211,306
226,325
205,312
221,331
200,317
216,337
195,323
211,342
190,329
206,348
185,335
201,354
180,340
196,360
175,346
190,365
169,352
185,371
164,358
180,377
159,363
175,383
154,369
170,389
149,375
165,394
144,381
160,400
139,386
154,406
133,392
149,412
128,398
144,417
134,411
131,414
143,454
135,463
156,450
140,469
161,455
145,475
166,461
150,481
171,467
156,486
177,473
161,492
182,478
166,498
187,484
171,504
192,490
176,509
197,496
181,515
202,502
186,521
207,507
192,527
213,513
197,532
218,519
202,538
223,525
207,544
228,530
212,550
233,536
217,555
238,542
222,561
243,548
235,557
238,560
257,536
276,557
252,540
273,563
247,544
269,568
242,548
266,573
237,552
262,578
233,557
258,583
229,562
253,587
225,567
248,592
222,572
244,596
218,577
238,599
274,547
284,554
269,534
290,548
274,529
295,542
279,523
300,536
284,517
305,531
289,511
310,525
294,506
315,519
299,500
320,513
305,494
326,508
310,488
331,502
315,483
336,496
320,477
341,490
325,471
346,485
330,465
351,479
335,460
356,473
341,454
362,467
346,448
356,455
360,451
238,294
230,303
251,290
235,309
256,295
241,315
262,301
246,320
267,307
251,326
272,313
256,332
277,318
261,338
282,324
266,343
287,330
271,349
292,336
277,355
298,341
282,361
303,347
287,367
308,353
292,372
313,359
297,378
318,364
302,384
323,370
307,390
